number,title,writers,originalAirDate,desc,id
32 - 3,The Cryonic Woman,J. Stewart Burns,"December 3, 2000","Fry, Leela, and Bender all lose their jobs at Planet Express, and they endeavor to return to their old jobs. Due to a mix-up of their career chips, Fry becomes a career counselor at Applied Cryogenics, where he meets up with a familiar defrostee - his girlfriend from the 20th century, Michelle.",32
33 - 4,Parasites Lost,Eric Kaplan,"January 21, 2001","When Fry becomes infested with parasitic worms that make him stronger and smarter, he finally finds the perfect way to profess his feelings to Leela. Meanwhile, the rest of the crew go on a Fantastic Voyage-esque journey into Fry's body to eradicate the worms.",33
34 - 5,Amazon Women in the Mood,Lewis Morton,"February 4, 2001","A double-date for Kif, Amy, Zapp, and Leela ends in disaster when their orbiting restaurant crashes on planet Amazonia. The hulking female inhabitants of the planet take their male captives to the omniscient Femputer, who orders Fry, Zapp, and Kif to death by 'snu-snu'.",34
35 - 6,Bendless Love,Eric Horsted,"February 11, 2001","Bender's urge to bend prompts Professor Farnsworth to send him on a rehabilitation visit to a steel factory, where he falls in love with a shapely fem-bot named Angleyne. But Bender's old rival Flexo and the intrusion of the Robot Mafia threaten to throw a wrench into the proceedings.",35
36 - 7,The Day the Earth Stood Stupid,Jeff Westbrook,"February 18, 2001","Earth is invaded by super-intelligent flying brains, who sap the Earth's populace of their intelligence. Leela is taken to Nibbler's home planet Eternium, where the Nibblonians explain that only one human is immune to the brains' powers – Fry.",36
37 - 8,That's Lobstertainment!,Patric M. Verrone,"February 25, 2001","Dr. Zoidberg reunites with his uncle, silent hologram star Harold Zoid, and the two of them set out to make a movie together. They cast the temperamental Calculon in the lead role, who demands an Oscar for his performance, but the movie doesn't go over well with audiences.",37
38 - 9,The Birdbot of Ice-Catraz,Dan Vebber,"March 4, 2001","A sober Bender crashes a dark matter tanker on Pluto, threatening the penguin reserve nearby. Leela helps out in the clean-up, but when the penguins begin mating out of control, drastic action must be taken to thin the herd.",38
39 - 10,The Luck of the Fryrish,Ron Weiner,"March 11, 2001","After a string of bad luck, Fry ventures into the decaying ruins of Old New York to regain his lucky seven leaf clover from his childhood, only to find that his brother Yancy Fry had stolen not only the clover, but Fry's identity as well. Fry sets out to exhume his brother's body, but discovers a startling truth about Yancy instead.",39
40 - 11,The Cyber House Rules,Lewis Morton,"April 1, 2001","Leela meets up with her former orphanarium playmate Adlai Atkins, now a phaser eye surgeon, who offers to grant Leela surgery that will give her two eyes. Meanwhile, Bender adopts twelve orphans in order to collect $1,200 in government stipends.",40
41 - 12,Insane in the Mainframe,Bill Odenkirk,"April 8, 2001","Accused of robbing a bank, Fry and Bender plead insanity and are both sent to robot insane asylum. While Bender and his buddy Roberto plan an escape, Fry is brainwashed into thinking that he is a robot.",41
42 - 13,Bendin' in the Wind,Eric Horsted,"April 22, 2001","When Bender is paralyzed in a tragic can opener accident, he discovers his musical washboard skills and goes on tour as a member of Beck's folk-rock band, acting as a voice for broken robots everywhere. Fry, Leela, Amy, and Zoidberg tag along in Fry's antique 1960s VW Van.",42
43 - 14,Time Keeps on Slippin',Ken Keeler,"May 6, 2001","While creating a team of mutants to play the Harlem Globetrotters, the Professor accidentally causes a disruption in time that threatens the existence of the universe. Meanwhile, Fry tries to win an unreceptive Leela's heart.",43
44 - 15,I Dated a Robot,Eric Kaplan,"May 13, 2001","Fry discovers the ability to download any celebrity onto a blank robot, and chooses to download Lucy Liu, with whom he falls madly in love. Repulsed by this disgusting display of human/robot love, Leela, Bender, and Zoidberg set out to shut down Nappster.com and put an end to illegal celebrity downloads forever.",44
45 - 1,Roswell that Ends Well,J. Stewart Burns,"December 9, 2001","The combined explosions of a supernova and Fry putting metal in the microwavе hurtle the Planet Express crew back in time to 1947. They land at Roswell, New Mexico, where a shattered Bender is mistaken for UFO debris, Zoidberg is kidnapped by the U.S government and taken in for an alien autopsy, and Fry accidentally kills his grandfather, Enos Fry, in a nuclear explosion.",45
46 - 2,A Tale of Two Santas,Bill Odenkirk,"December 23, 2001","A Planet Express mission to Robot Santa Claus' colony on Neptune leaves the murderous robot trapped in the frozen sea, and Bender takes over as Santa, vowing to bring peace and goodwill to Xmas again. But when Bender is mistaken for the real Robot Santa Claus, he is arrested and sentenced to death.",46
47 - 3,Anthology of Interest II,"L. Morton, D. X. Cohen, J. Gorbett, S. Kirby","January 6, 2002","When the Professor fine-tunes his What-If Machine, Bender discovers what it would be like if he were human, Fry discovers what it would be like if life were more like a video game, and Leela discovers what it would be like if she found her true home.",47
48 - 4,Love and Rocket,Dan Vebber,"February 10, 2002","Bender falls deeply in love with the Planet Express ship autopilot's female voice setting. Meanwhile, Fry searches for the perfect candy heart to properly convey his feelings for Leela.",48
49 - 5,Leela's Homeworld,Kristin Gore,"February 17, 2002","When Bender disposes nuclear waste in the sewers, the angry mutants drag him, Fry, and Leela down to the depths to be mutated. As they attempt to escape, Leela makes an incredible discovery about her true heritage, finally meeting her parents for the first time.",49
50 - 6,Where the Buggalo Roam,J. Stewart Burns,"March 3, 2002","When Amy's parents' ranch is hit by a dust storm that blows away their herd of buggalo, Kif sets out to prove his masculinity by rounding up the herd, only to become entangled with the native Martians.",50
51 - 7,A Pharaoh to Remember,Ron Weiner,"March 10, 2002","Bender fears that nobody will remember him after he dies, and sees his chance for immortality when the crew is enslaved on the planet O'Cyris IV. Posing as the planet's new pharaoh, Bender orders a humongous statue built in his honor, and quickly goes mad with power and tyranny.",51
52 - 8,Godfellas,Ken Keeler,"March 17, 2002","Bender is accidentally shot out of the ship's torpedo tube and becomes lost in space. Floating through the ethereal darkness, Bender becomes inhabited with tiny alien life forms, but has trouble playing God to their unyielding prayers until he meets the real thing",52
53 - 9,Future Stock,Aaron Ehasz,"March 31, 2002","With Planet Express in financial trouble, Fry nominates a flashy businessman named Steve 'That Guy' Castle from the 1980s to replace Professor Farnsworth as CEO of the company. That Guy goes on to sell Planet Express to Mom's Friendly Robot Corporation, putting everyone out of a job.",53
54 - 10,A Leela of Her Own,Patric M. Verrone,"April 7, 2002","Leela endeavors to become the first female blernsball player, but her lack of depth perception hinders her skills. Nevertheless, she becomes the pitcher for the New New York Mets, purely for her novelty value. Fry helps a couple of aliens with their struggling pizza business.",54
55 - 11,The 30% Iron Chef,Jeff Westbrook,"April 14, 2002","Bender receives culinary lessons from the great chef Helmut Spargle, and puts his skills to the test on national television when he competes against Elzar on 'Iron Cook'. Meanwhile, Dr. Zoidberg accidentally destroys Professor Farnsworth's ship-in-a-bottle and pins the blame on Fry, only to be struck with remorse afterward.",55
56 - 12,Where No Fan Has Gone Before,David A. Goodman,"April 21, 2002","Fry leads the crew on a quest across the galaxy to regain the forbidden 79 episodes of Star Trek, where they encounter the original cast of the show - as well as their captor, an obsessive energy being named Melllvar.",56
57 - 1,Crimes of the Hot,Aaron Ehasz,"November 10, 2002","The rapid increase in global warming is traced to a ventilation flaw that Professor Farnsworth failed to correct in his first robot prototype. As a result, all robots are ordered to be destroyed by Nixon's head, but Bender refuses to go and join the genocide without a fight.",57
58 - 2,Jurassic Bark,Eric Kaplan,"November 17, 2002","Fry discovers his dog Seymour is being exhibited in a museum as a fossil, and takes it to Professor Farnsworth's lab to be revived. However, Bender is displeased with the lack of attention he has been receiving and becomes increasingly jealous of Seymour's fossil.",58
59 - 3,The Route of All Evil,Brian Sheesley,"December 8, 2002","Farnsworth's clone Cubert teams up with Hermes' son Dwight to launch a newspaper delivery business. Farnsworth and Hermes scoff at the kids' efforts - until the delivery boys accumulate enough capital to buy out Planet Express. Meanwhile, Fry and Leela use Bender to brew their own homemade beer.",59
63 - 7,Teenage Mutant Leela's Hurdles,Bret Haaland,"March 30, 2003","The crew's attempts to de-age Professor Farnsworth result in everyone returning to their more youthful stages. While Farnsworth seeks out a way to re-age the crew, the newly-teenaged Leela takes the opportunity to experience the parental childhood she never had.",60
60 - 4,A Taste of Freedom,Eric Horsted,"December 22, 2002","When Zoidberg publicly devours an Earth flag for the reason of glorifying Earth, he ends up being accused of desecration. He is given a very unfair trial by the Earth Supreme Court and is sentenced to death. Before the sentence can be carried out, the Decapodians come to Zoidberg's aid by invading Earth, teaching the populace the true meaning of freedom but not in the way Zoidberg envisioned it.",61
61 - 5,Kif Gets Knocked Up a Notch,Bill Odenkirk,"January 12, 2003","Amy's relationship with Kif along with a mishap with Leela on the Nimbus leads to pregnancy... Kif being the pregnant one . But Amy fears that she won't be able to handle the burdens of motherhood, much to Kif's dismay.",62
62 - 6,Less than Hero,Rob Weiner,"March 2, 2003","Dr. Zoidberg's mysterious miracle cream gives Fry and Leela superpowers. Teaming up with Bender, they form the New Justice Team, under the respective alter egos of Captain Yesterday, Clobberella, and Super King. But Leela's new duties as a superheroine put a strain on her relationship with her parents.",63
64 - 8,The Why of Fry,David X. Cohen,"April 6, 2003","Still unable to impress Leela, Fry sadly suspects that he has no importance in life - until Nibbler takes him on a mission to prevent the brains from destroying the universe. In the process, Fry learns what really happened when he was cryogenically frozen on December 31, 1999.",64
65 - 9,The Sting,Patric M. Verrone,"June 1, 2003","The Planet Express crew goes on a mission to collect honey from a hive of space bees, which can kill instantly using their poisonous stings. The crew succeeds in getting the honey but the mission all goes wrong when Fry gets stung.",65
69 - 13,Bend Her,Michael Rowe,"July 20, 2003","In order to compete in the Fembot's division of the 3004 Olympics and cheat in it, Bender is surgically rebuilt to become a woman. His trashy and stereotypical behavior catches the eye of Calculon, with whom he develops a strong and confusing celebrity relationship.",66
66 - 10,The Farnsworth Parabox,Bill Odenkirk,"June 8, 2003","Professor Farnsworth forbids the crew to look inside a mysterious box. Leela can't resist taking a peek, discovering the box to be a gateway to a parallel universe.",67
67 - 11,Three Hundred Big Boys,Eric Kaplan,"June 15, 2003","A $300 refund for all taxpayers results in a series of interconnected stories, following the Planet Express crew's endeavors to spend their money. Fry recklessley decides to spend his refund on 100 cups of coffee and Leela plans to swin with a whale known as Mushu. Bender steals a $10,000 Cuban cigar and Zoidberg has some trouble on deciding how to spend his refund. Kif spends his rebate on gifts for Amy but is devastated when one of them is lost",68
68 - 12,Spanish Fry,Rob Weiner,"July 13, 2003","Fry is abducted by aliens, who harvest his nose as an aphrodisiac. The crew traces Fry's missing nose to Lrrr, leader of the Omicronians, who decides that Fry's 'lower horn' would be a much better aphrodisiac to jump start his stagnant and rocky marriage with Ndnd.",69
70 - 14,Obsoletely Fabulous,Dan Vebber,"July 27, 2003","Bender is incompatible with Professor Farnsworth's new Robot 1-X, but rather than get an upgrade, Bender escapes to a desert island to start his life anew. There, he meets several other outdated robots and receives a downgrade, then leads his new comrades in a rebellion against technology.",70
71 - 15,Bender Should Not Be Allowed on Television,Lewis Morton,"August 3, 2003","All My Circuits holds an audition to replace the part of Calculon's son, and Bender lands the part. Soon, Bender's uninhibited behavior proves to be a bad influence on children, and an outraged Bender leads a protest group to get himself banned from the airwaves.",71
72 - 16,The Devil's Hands Are Idle Playthings,Ken Keeler,"August 10, 2003","Desperate to learn how to play the holophonor in order to impress Leela, Fry swaps hands with the Robot Devil. He goes on to become a skilled holophonor player, winning Leela's heart and penning an opera about her life story, but the Robot Devil still has a trick or two up his sleeve.",72
73 - 76,Bender's Big Score,"Ken Keeler, David X. Cohen","March 23, 2008","Professor Farnsworth foolishly sells Planet Express to a trio of nudist scammers and they take control of Bender with a malicious virus. They find out that Fry has a tattoo of Bender on his butt, which contains a mysterious and forbidden power inside it. The scammers send Bender out to kill Fry and obtain the tattoo while they take the time to scam the rest of the universe. Leela starts a relationship with a man named Lars Filmore, who has a shocking secret lying within him. Hermes loses his head in an accident",73
77 - 80,The Beast with a Billion Backs,"Eric Kaplan, David X. Cohen","October 19, 2008","A month has passed since Bender's actions causes a rip in the universe to open and create an anomaly. The Planet Express Crew works overtime to find out what is lurking behind the anomaly. Fry starts a relationship with a girl named Colleen only to find out that she is already in a polyamorous relationship with several other men. Amy finally marries Kif but their marriage is short lived when Zapp betrays Kif and causes a huge accident which ends up killing him. Fry finds out that the thing lurking behind the anomaly is actually a gigantic being known as Yivo. Yivo quickly takes control of Fry and starts terrorizing the universe. Then the entire population of organic beings abandons Earth and the Robots, including Bender",74
85 - 88,Into the Wild Green Yonder,"Ken Keeler, David X. Cohen","August 30, 2009","The Planet Express Crew visits Mars and finds out that Amy's Dad, Leo Wong is building a mini golf course that threatens the Martian environment. This threat soon expands to the entire universe in which Leo plans to destroy a rare violet dwarf star to make way for a gigantic mini golf course. Leela and Amy protest this and team up with Frida Waterfall and several other girls including Labarbra to form the Ecofeministas, which is a team that focuses on eliminating Leo's genderism on his mini golf courses and stopping him from destroying the violet star. The Ecofeministas start protesting Leo's schemes but their protests all go wrong when they accidentally kill the Earthican Vice President, Agnew. The Ecofeministas soon go on the run from the law and Zapp Brannigan. The problem then goes from bad to worse when Frida is unexpectedly murdered and the Ecofeministas get arrested Meanwhile, Fry gets hit by a strange meteorite and somehow receives the ability to read peoples minds. He joins a cult of people who tell him that the universe is threatened by 'The Dark One'. Fry goes undercover to find out who The Dark One is and finds out that The Dark One is the one responsible for masterminding the scheme to destroy the Violet Star and is collaborating with Leo Wong. Bender has an affair with the Donbot's Wife and his life is threatened when the Donbot finds out that his wife is cheating on him. Farnsworth, Hermes, and Zoidberg try to save Planet Express from closing down permanentley due to a huge drop in profit.",75
81 - 84,Bender's Game,"Eric Horsted, David X. Cohen","April 25, 2009","When the price of Dark Matter suddenly rises to a ridiculous amount, the Planet Express Crew starts rationing fuel and ends up finding Mom's primary source of income. Leela disobeys Farnsworths ration rule to teach a lesson to a couple of lazy guys who insulted the crews ship and Zoidberg tells on Leela. Leela has an electric collar put on her because of anger issues and she starts blaming all of her problems on Zoidberg, bullying him constantly. Bender becomes obsessed with the Dungeons And Dragons game and is sent to an insane asylum. Nibbler is kidnapped by Mom's sons and the crew goes out to rescue him, only to be sent into a mysterious fantasy world.",76
89 - 1,Rebirth,David X. Cohen,"June 24, 2010","The wormhole transports the Planet Express ship and the Nimbus back to Earth, where both ships crash. Professor Farnsworth sets about regenerating his crew with a soup of adult stem cells.",77
90 - 2,In-A-Gadda-Da-Leela,Carolyn Premish,"June 24, 2010","A rogue death sphere – the V-GINY – heads for Earth, and President Nixon enlists the Planet Express crew in a mission to stop the threat. Leela and Zapp Brannigan fly a stealth fighter to the death sphere in an attempt to incapacitate it, but wind up marooned in a paradisic garden.",78
91 - 3,Attack of the Killer App,Patric M. Verrone,"July 1, 2010","Fry posts an embarrassing video of Leela on the internet, which instantly becomes popular and humiliates Leela.",79
92 - 4,Proposition Infinity,Michael Rowe,"July 8, 2010","Bender attempts to make robosexual marriage legal, after pursuing a relationship with Amy when Kif breaks up with her due to her flexible flirting with tough guys",80
93 - 5,The Duh-Vinci Code,Maiya Williams,"July 15, 2010",The Planet Express crew travels to Rome and discovers things that even Tom Hanks could not discover.,81
94 - 6,Lethal Inspection,Eric Horsted,"July 22, 2010",Bender sets out to beat up his robot inspector after he realizes he has a fatal defect.,82
95 - 7,The Late Philip J. Fry,Lewis Morton,"July 29, 2010",Farnsworth invents a time machine but it only travels to the future with no hope of going back.,83
100 - 12,The Mutants Are Revolting,Eric Horsted,"Sept 2, 2010",The mutants attack the surface world after several decades of oppression and mistreatment.,84
96 - 8,That Darn Katz!,Josh Weinstein,"Aug 5, 2010",Sentient cats invade Earth and only Amy and Nibbler can stop them.,85
97 - 9,A Clockwork Origin,Dan Vebber,"Aug 12, 2010",A planet of robots questions evolution.,86
98 - 10,The Prisoner of Benda,Ken Keeler,"Aug 19, 2010",A device causes mind swapping.,87
99 - 11,Lrrreconcilable Ndndifferences,Patric M. Verrone,"Aug 26, 2010","A failed invasion causes Lrrr to doubt himself and enter a midlife crisis. His wife, Ndnd kicks him out of the house and he moves into the Planet Express Headquarters, where Fry and Leela come up with a plan to bring Lrr and Ndnd back together.",88
101 - 13,The Futurama Holiday Spectacular,Michael Rowe,"November 21, 2010",holiday special,89
102 - 1, Neutopia,Aaron Ehasz,"June 23, 2011","The Planet Express crew is in desperate need of money and start a genderist commercial airline. An alien who does not understand the concept of gender conducts experiments on the crew, changing all their genders by accident.",90
103 - 2,Benderama  J. Stewart Burns,Crystal Chesney-Thompson,"June 23, 2011","Bender creates duplicates of himself, who in turn create duplicates of themselves, until they threaten to consume all of the matter on Earth.",91
104 - 3,Ghost in the Machines,Patric M. Verrone,"June 30, 2011",Bender dies and his software takes on a ghostly existence after Fry throws bigoted statements at him and tells him that his life is not worth anything.,92
109 - 8,Möbius Dick  Dan Veeber,TBA,"August 4, 2011",Leela hunts a mysterious four-dimensional whale and becomes obsessed with killing it.,93
105 - 4,Law and Oracle,Edmund Fong,"July 7, 2011","Fed up with his go-nowhere job, Fry quits Planet Express joins the police force.",94
106 - 5, The Silence of the Clamps ,Eric Rogers,"July 14, 2011",Bender goes into witness relocation after testifying against the robot mafia. One of the mafia's members gets a job at Planet Express to locate Bender and Zoidberg does not trust the member.,95
107 - 6,Yo Leela Leela,David X. Cohen,"July 21, 2011","Leela creates a successful new series and becomes a Hollywood bigshot. Unfortunatley, Leela lets her newfound notoriety go to her head.",96
108 - 7, All the Presidents Heads,TBA,"July 28, 2011",History is altered when the crew travel back in time and mess it all up.,97
113 - 12, Overclockwise,Ken Keeler,"September 1, 2011","When Bender increases his processing power, he becomes godlike. Mom sues Cubert and Professor Farnsworth and quickly drains Planet Express of their money supply.",98
110 - 9,Fry Am the Egg Man,TBA,"August 11, 2011",Fry nurtures an alien egg out of which hatches a monster.,99
111 - 10,The Tip of the Zoidberg,TBA,"August 18, 2011","The Planet Express crew betrays Zoidberg and tries to get Farnsworth to fire him but in the process, they learn something shocking and dark about Farnsworth and Zoidberg's pasts.",100
112 - 11,Cold Warriors,Dan Veeber,"August 25, 2011","Fry inadvertently reintroduces the common cold to the 31st century, which causes everyone to get it.",101
114 - 13,Reincarnation,TBA,"September 8, 2011","An episode featuring 3 different segments, in the same vein as episodes such as Anthology of Interest I and The Futurama Holiday Spectacular. Each segment showcases a different style of animation. The first segment will be animated in a black-and-white Fleischer style, the second segment drawn in the style of anime, and the third will be in the style of a low-resolution video game. The episode will not be canon and will be the final episode of the sixth season of Futurama.",102
115 - 1,The Bots and the Bees,Eric Horsted,"June 20, 2012","Planet Express gets a new soda machine named Bev and Bender impregnates her, causing her to give birth to a child named Ben. Bev abandons Ben, leaving Bender to take care of Ben and they create a great father-son relationship together, until Bev comes back and snatches Ben right out of Bender's hands.",103
116 - 2,A Farewell to Arms,Josh Weinstein,"June 20, 2012",An ancient catastrophic disaster hits Earth and its effects are all predicted on an ancient Martian calendar. The Planet Express crew along with Zapp and Kif try to find a way to stop the catastrophe. Leela breaks her leg in an accident,104
117 - 3,Decision 3012,Patric M. Verrone,"June 27, 2012",The 3012 election is underway and Nixon's head faces a tough opponent named Chris Travers. Leela becomes a campaign secretary for Travers but it soon becomes clear that his origins is not as it seems.,105
118 - 4,The Thief of Baghead,Dan Vebber,"July 4, 2012","Bender wants to take a picture of an actor who never reveals his face in public so he joins the paparazzi and becomes obsessed with taking pictures of everyone, including Calculon. Unfortunatley the obsession spirals out of control when Bender shows the picture of the actor to Fry, Hermes, and Amy and gets their life forces sucked out.",106
119 - 5,Zapp Dingbat,Eric Rogers,"July 11, 2012","Zapp Brannigan loses interest in Leela and he starts a romance with her mom, which upsets Leela greatly. This causes Leela to try to stop this inappropriate romance by swaying Zapp away from her mom. Meanwhile, Leela's dad, who is unaware of his wife new suitor, dreams of surfing the biggest sewer waves on Earth.",107
120 - 6,The Butterjunk Effect,Michael Rowe,"July 18, 2012","Leela and Amy become addicted to the steroid like- performance enhancing drug known as 'Nectar' to increase their chances of winning at the epic sport of the Butterfly Derby. Meanwhile, Fry gets sprayed with a hormone by a male butterfly and it causes both Leela and Amy to go all over him.",108
121 - 7,The Six Million Dollar Mon,Ken Keeler,"July 25, 2012",Hermes realizes he is less efficient than a machine and gets obsessed with having his body parts replaced by machinery causing him to lose his human emotions rapidly. Meanwhile Zoidberg makes a puppet out of the body parts that Hermes threw away and he goes cross country to fulfill his dream of becoming a ventriloquist.,109
